#file	type	true_z	true_x0	true_x1	true_c	S2noz_z	S2noz_zoerr	S2noz_to	S2noz_toerr	S2noz_xo	S2noz_xoerr	S2noz_x1	S2noz_x1err	S2noz_c	S2noz_cerr	S2zsp_z	S2zsp_zoerr	S2zsp_to	S2zsp_toerr	S2zsp_xo	S2zsp_xoerr	S2zsp_x1	S2zsp_x1err	S2zsp_c	S2zsp_cer
DES_SN000143.DAT	1	0.553430	0.000012	0.984830	-0.037835	0.712485	0.000003	26.235991	0.000131	0.000010	0.000000	1.093365	0.227264	-0.134664	0.014372	0.552514	0.001042	25.265927	146.515867	0.000011	0.001423	1.543213	3.727881	0.009102	0.712492
DES_SN000335.DAT	22	0.352090	-9.000000	-9.000000	-9.000000	0.493448	0.004156	40.232688	0.210186	0.000021	0.000000	3.000000	0.005289	0.249917	0.016565	0.351090	0.000256	37.920659	0.180841	0.000021	0.000000	3.000000	0.012209	0.317484	0.014464
DES_SN000340.DAT	1	0.610690	-9.000000	-9.000000	-9.000000	0.710232	0.017008	28.547137	0.656808	0.000006	0.000000	0.090794	0.461144	-0.035951	0.035699	0.609690	0.001723	27.581267	0.613921	0.000006	0.000000	0.163797	0.443104	0.061346	0.035352
DES_SN000530.DAT	1	0.577400	0.000010	0.042701	-0.031247	0.827488	1.074341	19.943299	145.920885	0.000005	0.001423	-1.736306	4.432755	-0.319734	0.735225	0.576400	0.001953	22.454461	0.148764	0.000009	0.000000	0.279183	0.121337	-0.018504	0.007487
DES_SN001421.DAT	1	0.931050	0.000005	0.363340	-0.212650	0.773592	0.016816	27.067388	0.446337	0.000005	0.000000	0.038802	0.323850	0.041669	0.044022	0.932050	0.001996	29.103819	0.434438	0.000005	0.000000	0.437627	0.292213	-0.154713	0.019386
DES_SN001483.DAT	1	0.724330	0.000005	0.833860	0.011591	0.466128	0.972996	-34.288702	132.742643	0.000011	0.001460	0.047169	4.357375	-0.417083	0.520154	0.725330	0.001717	29.745772	0.235797	0.000006	0.000000	1.080113	0.254348	-0.006947	0.020933
DES_SN001566.DAT	22	0.301700	-9.000000	-9.000000	-9.000000	1.229992	0.000004	-51.472492	0.001175	0.000094	0.000003	-2.999995	0.003363	-0.085981	0.004245	0.302700	0.001448	23.914948	0.001757	0.000007	0.000000	3.000000	0.042197	0.161988	0.028150
DES_SN001770.DAT	1	0.432070	-9.000000	-9.000000	-9.000000	0.601002	0.012450	26.573940	0.699524	0.000011	0.000001	2.884116	1.195823	-0.150072	0.021257	0.433070	0.001685	19.947962	0.841215	0.000012	0.000000	-1.205259	0.510144	-0.080426	0.025616
DES_SN002223.DAT	1	0.141890	-9.000000	-9.000000	-9.000000	0.694193	0.002337	3.372153	0.215157	0.000041	0.000000	-0.133078	0.039846	-0.239495	0.003259	0.140890	0.000006	-17.018660	0.000138	0.000098	0.000002	-0.397607	0.056899	0.198174	0.009312
DES_SN002475.DAT	1	0.541430	-9.000000	-9.000000	-9.000000	0.576217	0.000004	20.122231	0.000042	0.000008	0.000000	0.986502	0.269216	-0.036860	0.017651	0.542430	0.002000	20.219915	0.280953	0.000008	0.000000	1.080162	0.276669	0.002351	0.018146
