#file	type	true_z	true_x0	true_x1	true_c	S2noz_z	S2noz_zoerr	S2noz_to	S2noz_toerr	S2noz_xo	S2noz_xoerr	S2noz_x1	S2noz_x1err	S2noz_c	S2noz_cerr	S2zsp_z	S2zsp_zoerr	S2zsp_to	S2zsp_toerr	S2zsp_xo	S2zsp_xoerr	S2zsp_x1	S2zsp_x1err	S2zsp_c	S2zsp_cer
DES_SN000143.DAT	1	0.553430	0.000012	0.984830	-0.037835	0.712485	0.000003	26.235994	0.000131	0.000010	0.000000	1.093366	0.227264	-0.134664	0.014372	0.552431	0.001647	25.276087	0.073813	0.000011	0.000000	1.544768	0.238723	0.009285	0.016240
DES_SN000335.DAT	22	0.352090	-9.000000	-9.000000	-9.000000	0.493448	0.004156	40.232688	0.210186	0.000021	0.000000	3.000000	0.005289	0.249917	0.016565	0.351090	0.000256	37.920662	0.180840	0.000021	0.000000	3.000000	0.012209	0.317484	0.014464
DES_SN000340.DAT	1	0.610690	-9.000000	-9.000000	-9.000000	0.710232	0.017008	28.547137	0.656808	0.000006	0.000000	0.090794	0.461144	-0.035951	0.035699	0.609690	0.001723	27.581267	0.613921	0.000006	0.000000	0.163797	0.443104	0.061346	0.035352
DES_SN000530.DAT	1	0.577400	0.000010	0.042701	-0.031247	0.523534	1.128793	19.978127	149.709975	0.000010	0.001453	2.961374	4.050372	-0.126513	0.732601	0.576400	0.001953	22.454461	0.148764	0.000009	0.000000	0.279183	0.121337	-0.018504	0.007487
DES_SN001421.DAT	1	0.931050	0.000005	0.363340	-0.212650	0.773592	0.016816	27.067388	0.446337	0.000005	0.000000	0.038802	0.323850	0.041669	0.044022	0.932050	0.001996	29.103819	0.434438	0.000005	0.000000	0.437627	0.292213	-0.154713	0.019386
DES_SN001483.DAT	1	0.724330	0.000005	0.833860	0.011591	0.460585	0.000311	-34.004148	0.001071	0.000008	0.000000	1.456905	0.010572	-0.285422	0.001471	0.725330	0.001717	29.745772	0.235797	0.000006	0.000000	1.080113	0.254348	-0.006947	0.020933
DES_SN001566.DAT	22	0.301700	-9.000000	-9.000000	-9.000000	1.229992	0.000004	-51.472492	0.001175	0.000094	0.000003	-2.999995	0.003363	-0.085981	0.004245	0.302700	0.001448	23.914948	0.001757	0.000007	0.000000	3.000000	0.042197	0.161988	0.028150
DES_SN001770.DAT	1	0.432070	-9.000000	-9.000000	-9.000000	0.601002	0.012450	26.573940	0.699524	0.000011	0.000001	2.884116	1.195823	-0.150072	0.021257	0.433070	0.001685	19.947962	0.841215	0.000012	0.000000	-1.205259	0.510144	-0.080426	0.025616
DES_SN002223.DAT	1	0.141890	-9.000000	-9.000000	-9.000000	0.694193	0.002337	3.372153	0.215157	0.000041	0.000000	-0.133078	0.039846	-0.239495	0.003259	0.140890	0.000006	-17.018660	0.000138	0.000098	0.000002	-0.397607	0.056899	0.198174	0.009312
DES_SN002475.DAT	1	0.541430	-9.000000	-9.000000	-9.000000	0.576217	0.000004	20.122231	0.000042	0.000008	0.000000	0.986502	0.269216	-0.036860	0.017651	0.542430	0.002000	20.219915	0.280953	0.000008	0.000000	1.080162	0.276669	0.002351	0.018146
DES_SN002864.DAT	22	0.469790	-9.000000	-9.000000	-9.000000	0.752963	0.000006	-49.535864	0.000254	0.000080	0.000001	-0.123345	0.007895	-0.500000	0.000950	0.468790	0.000085	-13.462779	0.000760	0.000025	0.000000	2.999988	0.015873	-0.211724	0.013028
DES_SN002901.DAT	1	0.643210	0.000016	3.546800	-0.189620	0.623977	0.009007	21.277973	0.159029	0.000013	0.000000	3.000000	0.070765	-0.155432	0.010309	0.642210	0.001716	21.435879	0.139170	0.000013	0.000000	3.000000	0.097594	-0.163493	0.008879
DES_SN003177.DAT	1	0.422760	0.000018	0.720650	0.038686	0.680651	0.027833	26.220813	0.401292	0.000015	0.000000	0.943953	0.184929	-0.202554	0.011732	0.423760	0.001302	23.951245	0.219106	0.000017	0.000000	1.206385	0.186073	0.033543	0.013526
DES_SN003290.DAT	1	0.332560	-9.000000	-9.000000	-9.000000	0.787492	0.004259	23.702268	0.107120	0.000014	0.000000	0.072303	0.025241	-0.331182	0.002827	0.331560	0.000333	19.632200	0.079423	0.000020	0.000000	-0.876230	0.073095	0.055741	0.007943
DES_SN003409.DAT	1	0.537050	0.000014	-1.092600	-0.154460	0.567535	0.000006	27.635575	0.000272	0.000014	0.000000	-0.528785	0.107451	-0.163321	0.005693	0.536051	0.000047	26.841499	0.102514	0.000014	0.000000	-0.892416	0.094112	-0.132417	0.006247
DES_SN003441.DAT	22	0.268410	-9.000000	-9.000000	-9.000000	0.884412	0.019626	33.143304	0.398925	0.000005	0.000000	0.035762	0.042822	-0.389268	0.009287	0.267410	0.000228	27.020570	0.490865	0.000008	0.000001	0.503193	0.657521	0.077562	0.052088
DES_SN003685.DAT	1	0.803190	0.000005	-0.205530	-0.071684	0.844243	0.016412	28.418903	0.879242	0.000005	0.000000	-0.342028	0.399215	-0.140670	0.044561	0.804190	0.001975	27.954392	0.825617	0.000005	0.000000	-0.279282	0.496508	-0.064408	0.043117
DES_SN003934.DAT	1	0.159450	-9.000000	-9.000000	-9.000000	0.620336	0.004536	20.696434	0.163072	0.000130	0.000001	-1.185185	0.068059	-0.354745	0.002303	0.158450	0.001758	14.882028	0.126998	0.000143	0.000001	-0.958037	0.116681	0.018762	0.006788
DES_SN003950.DAT	1	0.581140	-9.000000	-9.000000	-9.000000	0.698426	0.006325	28.072804	0.180088	0.000009	0.000000	0.858647	0.149833	-0.059098	0.010826	0.580140	0.001923	27.104218	0.168280	0.000009	0.000000	0.893256	0.141333	0.059219	0.010798
DES_SN004088.DAT	1	0.496000	0.000017	-2.619600	-0.214200	0.511098	0.004902	23.213045	0.108087	0.000014	0.000000	-1.978909	0.084844	-0.097824	0.010579	0.497000	0.001411	23.156898	0.106540	0.000014	0.000000	-1.960860	0.085388	-0.075184	0.006711
DES_SN004131.DAT	1	0.391010	-9.000000	-9.000000	-9.000000	0.719990	0.006021	27.986748	0.118668	0.000013	0.000000	0.157441	0.082257	-0.184321	0.009132	0.392010	0.001293	24.769306	0.111062	0.000014	0.000000	0.385789	0.109747	0.153962	0.010527
DES_SN004195.DAT	1	0.568140	-9.000000	-9.000000	-9.000000	0.605608	0.000351	24.701129	0.009945	0.000006	0.000001	-0.198763	0.716001	-0.049391	0.417472	0.567140	0.001716	24.314996	0.434982	0.000006	0.000000	-0.355523	0.391491	-0.009727	0.036250
DES_SN004289.DAT	1	0.498870	-9.000000	-9.000000	-9.000000	0.723212	0.000012	29.770232	0.000496	0.000009	0.000000	-0.159104	0.142942	-0.242745	0.009411	0.497870	0.000189	26.766695	0.246402	0.000011	0.000000	-0.973947	0.198284	-0.058307	0.014305
DES_SN004440.DAT	1	0.360990	0.000023	0.248460	0.080247	0.567737	0.005292	23.475272	0.135528	0.000020	0.000000	0.004588	0.113668	-0.151153	0.010995	0.359990	0.001495	22.079403	0.120771	0.000021	0.000000	0.314432	0.113708	0.123920	0.010542
DES_SN004881.DAT	1	0.486250	0.000020	1.521400	-0.095778	0.501802	0.005783	25.241188	0.291304	0.000015	0.000000	1.936433	0.192596	-0.060949	0.013297	0.485250	0.000154	25.117284	0.289193	0.000015	0.000000	1.979156	0.192014	-0.043166	0.010737
DES_SN005039.DAT	1	0.341260	0.000030	0.238170	0.013649	0.677854	0.006188	22.071966	0.130651	0.000020	0.000000	0.186291	0.085217	-0.291101	0.005594	0.342260	0.000189	18.722711	0.117528	0.000026	0.000000	-0.040083	0.105328	0.025968	0.009216
DES_SN005417.DAT	1	0.671600	0.000005	0.093409	0.065413	0.744410	0.008667	23.467933	0.246125	0.000006	0.000000	0.459447	0.198159	-0.053258	0.021488	0.670600	0.000229	22.675399	0.215075	0.000005	0.000000	0.440475	0.174181	-0.000322	0.017421
DES_SN006341.DAT	1	0.368210	0.000025	0.100960	0.022981	0.747317	0.000004	-42.283685	169.450818	0.000110	0.000000	-0.876202	0.000005	-0.311417	0.000001	0.369210	0.000418	21.291271	0.081530	0.000023	0.000000	0.530399	0.073003	0.029321	0.006420
DES_SN006603.DAT	1	0.683550	0.000009	-1.339700	-0.242470	0.707378	0.006199	29.345163	0.174464	0.000009	0.000000	-0.597198	0.108467	-0.169789	0.009244	0.684550	0.000081	29.082908	0.148419	0.000009	0.000000	-0.713764	0.061678	-0.166569	0.008776
DES_SN006675.DAT	1	0.434010	0.000010	-1.879800	0.159730	0.555099	0.010836	25.688817	0.334256	0.000010	0.000000	-1.909413	0.203463	-0.030947	0.022446	0.435010	0.001874	25.019285	0.336675	0.000010	0.000000	-1.862593	0.226245	0.091971	0.021326
DES_SN006712.DAT	1	0.801900	0.000004	-2.915500	-0.166600	1.145975	0.011783	-52.343453	1.561503	0.000034	0.000003	-3.000000	0.032325	-0.018712	0.016295	0.800900	0.001012	-38.073297	0.015565	0.000008	0.000001	0.057293	0.040625	-0.462045	0.053014
DES_SN006869.DAT	22	0.421020	-9.000000	-9.000000	-9.000000	0.793090	0.004198	43.765561	0.232593	0.000017	0.000000	-0.245461	0.030701	-0.334496	0.005042	0.420020	0.001296	41.685185	0.206552	0.000015	0.000000	3.000000	0.004120	0.240825	0.017592
DES_SN007221.DAT	1	0.839830	0.000004	2.109100	-0.010679	1.167275	0.008143	-53.583967	0.319310	0.000088	0.000003	-3.000000	0.004168	-0.038324	0.003826	0.838885	0.001731	26.535302	0.471479	0.000005	0.000000	1.667538	0.344045	0.012522	0.022597
DES_SN007245.DAT	32	0.528340	-9.000000	-9.000000	-9.000000	0.508721	0.017144	20.393300	0.396988	0.000006	0.000000	-1.097820	0.363182	0.415781	0.039722	0.529340	0.001386	20.494118	0.381405	0.000007	0.000000	-1.234924	0.399136	0.382134	0.043927
DES_SN007453.DAT	32	0.138320	-9.000000	-9.000000	-9.000000	0.839962	0.009865	8.338009	0.549941	0.000010	0.000000	3.000000	0.153473	-0.027902	0.021632	0.138268	0.001473	-18.950673	0.002248	0.000019	0.000000	-0.485496	0.187527	0.500000	0.002856
DES_SN007510.DAT	1	0.550280	-9.000000	-9.000000	-9.000000	0.694039	0.016780	28.818594	0.504636	0.000007	0.000000	0.309429	0.348598	-0.088711	0.030019	0.549280	0.001265	27.592696	0.469772	0.000007	0.000000	0.340419	0.360914	0.062732	0.031938
DES_SN007561.DAT	1	0.850390	0.000004	-0.113350	-0.061132	0.832035	0.009981	30.000721	0.754782	0.000004	0.000000	-0.768084	0.543655	-0.024093	0.032671	0.849390	0.001919	30.601716	0.692083	0.000004	0.000000	-0.424922	0.477104	-0.049112	0.026720
DES_SN007797.DAT	22	0.194000	-9.000000	-9.000000	-9.000000	0.755000	0.057681	82.632578	0.099749	0.000133	0.001546	0.000000	4.481649	0.000000	0.746941	0.195000	0.000137	27.532183	0.327327	0.000023	0.000001	-1.194896	0.367792	0.173839	0.021239
DES_SN007940.DAT	1	0.457390	0.000021	-1.024100	-0.163310	0.658916	0.031031	24.566691	0.483391	0.000018	0.000001	-0.427145	0.175754	-0.301208	0.011722	0.456390	0.000151	22.612151	0.228786	0.000022	0.000000	-0.711960	0.149571	-0.140329	0.013112
DES_SN008008.DAT	1	0.155270	0.000207	1.686100	0.016980	0.212039	0.000001	18.566281	0.000046	0.000217	0.000001	1.752107	0.044491	-0.108662	0.003771	0.156270	0.000123	17.670364	0.029601	0.000214	0.000001	1.823471	0.038791	-0.029060	0.003981
DES_SN008057.DAT	21	0.581280	-9.000000	-9.000000	-9.000000	0.849033	0.001587	56.707257	164.311480	0.000007	0.000000	0.803768	0.000853	-0.276969	0.000407	0.580280	0.000029	30.886917	0.148756	0.000009	0.000000	2.994968	0.020963	-0.282193	0.007590
DES_SN008662.DAT	1	0.547760	0.000007	0.269840	0.164860	0.438300	0.018091	25.914187	0.411252	0.000006	0.000000	0.161200	0.375177	0.258989	0.038775	0.548760	0.001854	26.797119	0.421487	0.000006	0.000000	0.161129	0.397516	0.148737	0.035530
DES_SN008733.DAT	1	0.229730	0.000075	-0.586110	-0.017990	0.512831	0.000002	-14.560806	0.000091	0.000054	0.000000	-0.807390	0.049722	-0.305058	0.004202	0.228730	0.000290	-16.396726	0.000313	0.000053	0.000001	-1.100132	0.073665	0.114735	0.013548
DES_SN008872.DAT	1	0.745050	-9.000000	-9.000000	-9.000000	1.009102	0.030233	35.783121	2.222037	0.000003	0.000000	2.073123	1.375830	-0.059624	0.055969	0.746050	0.001322	30.594788	1.408331	0.000003	0.000000	-0.710752	1.319310	0.227699	0.094254
DES_SN008897.DAT	1	0.655890	-9.000000	-9.000000	-9.000000	0.708359	0.011062	29.334227	0.300202	0.000005	0.000000	0.937067	0.265913	0.050040	0.023567	0.656890	0.000231	28.852787	0.239509	0.000005	0.000000	1.035752	0.248089	0.088451	0.020593
DES_SN008978.DAT	1	0.503300	-9.000000	-9.000000	-9.000000	0.462934	0.004785	20.835774	0.130541	0.000014	0.000000	1.417831	0.108770	-0.037627	0.009199	0.502300	0.001120	21.258098	0.113752	0.000013	0.000000	1.410030	0.105684	-0.072449	0.008006
DES_SN009303.DAT	1	0.695450	0.000008	0.938290	-0.124070	0.732312	0.008809	23.639397	0.355338	0.000008	0.000000	0.826388	0.243959	-0.097204	0.018608	0.696450	0.000075	23.227307	0.001290	0.000008	0.000000	0.875290	0.241010	-0.068040	0.014841
DES_SN009704.DAT	22	0.041252	-9.000000	-9.000000	-9.000000	0.394923	0.000825	45.995374	0.079781	0.000389	0.000001	3.000000	0.000551	-0.126345	0.002466	0.040923	0.001015	24.002506	0.703290	0.000826	0.000009	2.915956	0.015138	-0.174836	0.008651
DES_SN009820.DAT	22	0.292930	-9.000000	-9.000000	-9.000000	0.773123	0.622660	-58.753345	68.085715	0.000064	0.000191	-1.437669	2.213394	-0.329701	0.314945	0.293930	0.001548	17.122256	0.525235	0.000011	0.000000	2.214912	0.528052	-0.156129	0.030796
DES_SN009905.DAT	33	0.184470	-9.000000	-9.000000	-9.000000	0.707823	0.002242	-38.387059	0.232713	0.000061	0.000001	0.067321	0.005195	-0.500000	0.000106	0.183470	0.000052	-13.180346	0.004668	0.000022	0.000001	-0.616651	0.092544	0.318176	0.018274
DES_SN010320.DAT	1	0.549130	0.000011	-1.373300	-0.097498	0.675833	0.009855	28.411892	0.212384	0.000010	0.000000	-1.015175	0.134928	-0.148313	0.016085	0.548130	0.001762	27.153796	0.187006	0.000010	0.000000	-0.932692	0.149121	0.011393	0.016364
DES_SN010431.DAT	1	0.717920	0.000007	0.036117	-0.117430	0.752449	0.010635	26.328046	0.446791	0.000007	0.000000	0.242435	0.319288	-0.032959	0.028984	0.718511	0.001204	25.934491	0.656447	0.000007	0.000841	0.163128	4.301863	0.012948	0.713459
DES_SN010485.DAT	32	0.411930	-9.000000	-9.000000	-9.000000	0.728975	0.006293	12.608994	0.264620	0.000014	0.000000	-1.447617	0.244497	0.056210	0.023622	0.410930	0.001500	11.549919	0.250415	0.000011	0.000000	0.163955	0.299917	0.459405	0.015499
